record_id,source_id,timestamp,title,uri,markdown_path
s01-substack-r000001,165195473,2025-06-04T14:48:10.557Z,Coming soon,https://hitchhikertothefuture.substack.com/p/coming-soon,posts/2025-06-04-coming-soon.md
s01-substack-r000002,165197675,2025-06-04T19:34:07.677Z,Welcome to Day 1 of the Future. ,https://hitchhikertothefuture.substack.com/p/welcome-to-day-1-of-the-future,posts/2025-06-04-welcome-to-day-1-of-the-future.md
s01-substack-r000003,165351814,2025-06-06T15:45:56.563Z,The Vision,https://hitchhikertothefuture.substack.com/p/the-vision,posts/2025-06-06-the-vision.md
s01-substack-r000004,165356894,2025-06-06T17:00:16.006Z,How To Fix Academic Publishing,https://hitchhikertothefuture.substack.com/p/how-to-fix-academic-publishing,posts/2025-06-06-how-to-fix-academic-publishing.md
s01-substack-r000005,165442006,2025-06-08T05:26:04.010Z,"Fast Trust, Immediate Relief ",https://hitchhikertothefuture.substack.com/p/fast-trust-immediate-relief,posts/2025-06-08-fast-trust-immediate-relief.md
s01-substack-r000006,165492755,2025-06-08T20:37:34.001Z,The Thermodynamic Internet Manifesto,https://hitchhikertothefuture.substack.com/p/the-thermodynamic-internet-manifesto,posts/2025-06-08-the-thermodynamic-internet-manifesto.md
s01-substack-r000007,165583870,2025-06-10T00:49:27.784Z,Everything Has Converged. Welcome to the Singularity,https://hitchhikertothefuture.substack.com/p/everything-has-converged-welcome,posts/2025-06-10-everything-has-converged-welcome.md
s01-substack-r000008,165626586,2025-06-10T13:27:15.527Z,The Temporal Trap: How Silicon Valley Steals Your Future,https://hitchhikertothefuture.substack.com/p/the-temporal-trap-how-silicon-valley,posts/2025-06-10-the-temporal-trap-how-silicon-valley.md
s01-substack-r000009,165632837,2025-06-10T14:54:10.321Z,Temporal Crypto ,https://hitchhikertothefuture.substack.com/p/temporal-crypto,posts/2025-06-10-temporal-crypto.md
s01-substack-r000010,165978688,2025-06-15T04:04:48.795Z,Open Response To Nicholas Decker Regarding Non-linear Pricing,https://hitchhikertothefuture.substack.com/p/open-response-to-nicholas-decker,posts/2025-06-15-open-response-to-nicholas-decker.md
s01-substack-r000011,166082743,2025-06-16T16:28:26.318Z,"Networks, Not Models, Are the True Foundation of Intelligence",https://hitchhikertothefuture.substack.com/p/networks-not-models-are-the-true,posts/2025-06-16-networks-not-models-are-the-true.md
s01-substack-r000012,166821851,2025-06-25T16:06:42.546Z,The Only Way Forward Is Backward,https://hitchhikertothefuture.substack.com/p/the-only-way-forward-is-backward,posts/2025-06-25-the-only-way-forward-is-backward.md
s01-substack-r000013,166981651,2025-06-27T15:19:28.917Z,Internet 2.0: The Sovereign Individual at the Core,https://hitchhikertothefuture.substack.com/p/internet-20-the-sovereign-individual,posts/2025-06-27-internet-20-the-sovereign-individual.md
s01-substack-r000014,167109665,2025-06-29T15:47:50.776Z,Internet 2.0 - A Human/AI Mesh Network,https://hitchhikertothefuture.substack.com/p/internet-20-a-humanai-mesh-network,posts/2025-06-29-internet-20-a-humanai-mesh-network.md
s01-substack-r000015,167123139,2025-06-29T19:17:12.288Z,The Future of Politics as a Function of Change,https://hitchhikertothefuture.substack.com/p/the-future-of-politics-as-a-function,posts/2025-06-29-the-future-of-politics-as-a-function.md
s01-substack-r000016,167129707,2025-06-29T21:11:18.479Z,Internet 2.0 Integrated Mesh Governance Plan,https://hitchhikertothefuture.substack.com/p/internet-20-integrated-mesh-governance,posts/2025-06-29-internet-20-integrated-mesh-governance.md
s01-substack-r000017,167215827,2025-06-30T21:56:00.222Z,The Winning Submission to the Bolt.new Hackathon,https://hitchhikertothefuture.substack.com/p/the-winning-submission-to-the-boltnew,posts/2025-06-30-the-winning-submission-to-the-boltnew.md
s01-substack-r000018,167564012,2025-07-05T03:22:10.127Z,The Last Complexity,https://hitchhikertothefuture.substack.com/p/the-last-complexity,posts/2025-07-05-the-last-complexity.md
s01-substack-r000019,167595512,2025-07-05T16:47:11.925Z,The Invasion of Mind,https://hitchhikertothefuture.substack.com/p/the-invasion-of-mind,posts/2025-07-05-the-invasion-of-mind.md
s01-substack-r000020,167652133,2025-07-06T14:53:06.784Z,The System Is Eating Itself,https://hitchhikertothefuture.substack.com/p/the-system-is-eating-itself,posts/2025-07-06-the-system-is-eating-itself.md
s01-substack-r000021,167658191,2025-07-06T16:32:54.043Z,Local Liquidity Pools,https://hitchhikertothefuture.substack.com/p/local-liquidity-pools,posts/2025-07-06-local-liquidity-pools.md
s01-substack-r000022,167667041,2025-07-06T18:46:31.216Z,"1010 Humans, $260K",https://hitchhikertothefuture.substack.com/p/1010-humans-260k,posts/2025-07-06-1010-humans-260k.md
